DATA AS OF,DEVELOPMENT,HUD AMP#,TDS#,CONSOLIDATED TDS#,DEVELOPMENT EDP#,OPERATING EDP#,HUD #,PROGRAM,METHOD,TYPE,NUMBER OF SECTION 8 TRANSITION APARTMENTS,NUMBER OF CURRENT APARTMENTS,TOTAL NUMBER OF APARTMENTS,NUMBER OF RENTAL ROOMS,AVG NO R/R PER APARTMENT,POPULATION SECTION 8 TRANSITION,POPULATION PUBLIC HOUSING,TOTAL POPULATION,TOTAL # OF FIXED INCOME HOUSEHOLD,PERCENT FIXED INCOME HOUSEHOLDS,NUMBER OF RESIDENTIAL BLDGS,NUMBER OF NON-RESIDENTIAL BLDGS,NUMBER OF STAIRHALLS,NUMBER OF STORIES,TOTAL AREA SQ FT,ACRES,NET DEV AREA SQ FT,EXCLUDING PARK ACRES,BLDG COVERAGE SQ FT,CUBAGE CU FT,BLDG COVERAGE %,DENSITY,DEVELOPMENT COST,PER RENTAL ROOM,AVG MONTHLY GROSS RENT,LOCATION STREET A,LOCATION STREET B,LOCATION STREET C,LOCATION STREET D,BOROUGH,COMMUNITY DISTIRCT,US CONGRESSIONAL DISTRICT,NY STATE SENATE DISTRICT,NY STATE ASSEMBLY DISTRICT,NY CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,RAD TRANSFERRED DATE
1/1/2024,ALBANY II,NY005010310,85,31,524,524,NY005216C,FEDERAL,CONVENTIONAL,NEW CONST,0,395,400,"1,824.50",4.62,0,848,848,154,0.4129,3,0,3,13–14,"214,594.00",4.93,"214,594",4.93,"26,053","3,249,689",12.14%,172,"$4,666,000","$2,540",$605,BERGEN ST,TROY AVE,ALBANY HOUSES,ALBANY AVE,BROOKLYN,8,9,20,56,36,2/7/1957,1978/02/01-ATP 2,,,,
1/1/2024,AMSTERDAM,NY005010220,22,22,530,530,NY005220A,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,082","1,084","5,120.00",4.73,0,"2,111","2,111",459,0.4397,13,0,24,6–13,"446,172.00",10.24,"413,534",9.49,"100,358","8,233,310",22.49%,206,"$12,262,000","$2,391",$619,W 61ST ST,W 64TH ST,WEST END AVE,AMSTERDAM AVE,MANHATTAN,7,12,47,67,6,12/17/1948,1978/07/01-ATP 3,,,,
1/1/2024,AMSTERDAM ADDITION,NY005021870,187,22,453,453,NY005366,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,26,175,175,762.5,4.36,58,278,336,88,0.5301,1,0,1,27,"36,154.00",0.83,"36,154",0.83,"17,562","1,825,587",48.58%,405,"$7,053,000","$9,250",$607,W 64TH ST,W 65TH ST,AMSTERDAM AVE,WEST END AVE,MANHATTAN,7,12,47,67,6,1/31/1974,,,,,
1/1/2024,ASTORIA,NY005000260,26,26,517,517,NY005213I,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,095","1,104","5,564.50",5.08,0,"2,646","2,646",396,0.3729,22,1,22,6–7,"1,406,832.00",32.3,"1,151,484",26.43,"173,434","10,826,559",12.33%,82,"$14,122,000","$2,519",$715,27TH AVE,8TH ST,HALLET'S COVE,EAST RIVER,QUEENS,1,14,59,36,22,11/9/1951,1977/07/01-ATP 1,,,,
1/1/2024,ATLANTIC TERMINAL SITE 4B,NY005011630,256,163,384,272,NY005189,FEDERAL,TURNKEY,NEW CONST,0,274,300,"1,155.00",4.22,0,493,493,125,0.4562,1,0,1,31,"88,155.00",2.02,"88,155",2.02,"15,382","2,464,800",17.45%,244,"$10,797,972","$8,489",$651,CLERMONT AVE,ATLANTIC AVE,CARLTON AVE,FULTON ST,BROOKLYN,2,7,25,57,35,4/30/1976,,,,,
1/1/2024,BAILEY AVENUE-WEST 193RD STREET,NY005012020,202,197,311,311,NY005106,FEDERAL,CONVENTIONAL,NEW CONST,0,217,233,920.5,4.24,0,413,413,118,0.5463,1,0,1,20,"99,606.00",2.29,"99,606",2.29,"13,621","1,877,893",13.67%,180,"$8,091,156","$8,173",$559,BAILEY AVE,W 193RD ST,HEATH AVE,,BRONX,7,13,31,86,14,5/31/1973,,,,,
1/1/2024,BAISLEY PARK,NY005010910,91,91,240,240,NY005038,FEDERAL,CONVENTIONAL,NEW CONST,0,381,386,"1,779.50",4.67,0,891,891,137,0.3774,5,1,5,8,"325,713.00",7.48,"325,713",7.48,"54,504","3,529,560",16.73%,119,"$5,856,304","$3,246",$638,LIRR,FOCH BLVD,116TH AVE,GUY BREWER BLVD,QUEENS,12,5,10,32,28,4/30/1961,,,,,
1/1/2024,BARUCH,NY005010600,60,60,215,215,NY005012,FEDERAL,CONVENTIONAL,NEW CONST,0,"2,177","2,194","10,166.50",4.67,0,"4,325","4,325",1016,0.4899,17,1,34,7–13–14,"1,196,115.00",27.46,"1,101,503",25.29,"160,098","17,784,205",13.38%,158,"$36,411,155","$3,553",$584,E HOUSTON ST,FDR DRIVE,DELANCEY ST,COLUMBIA ST,MANHATTAN,3,10,27,74,2,8/6/1959,,,,,
1/1/2024,BARUCH HOUSES ADDITION,NY005010600,198,60,383,215,NY005111,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0,195,197,639.5,3.28,0,216,216,157,0.9235,1,0,1,23,"47,204.00",1.08,"47,204",1.08,"6,149","1,268,931",13.03%,200,"$6,622,549","$9,907",$369,COLUMBIA ST,DELANCEY ST,E HOUSTON ST,FDR DRIVE,MANHATTAN,3,10,27,74,2,4/30/1977,,EXCLUSIVELY,,,
1/1/2024,BAY VIEW,NY005020920,92,92,670,670,NY005368,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,340,"1,524","1,610","6,939.00",4.55,729,"2,495","3,224",663,0.4353,23,2,23,8,"1,481,844.00",34.02,"1,459,244",33.5,"228,305","14,262,296",15.41%,95,"$19,575,470","$2,676",$606,SEAVIEW AVE,E 102ND ST,ROCKAWAY PKWY,SHORE PKWY,BROOKLYN,18,8,19,59,46,6/7/1956,,,,,
1/1/2024,BEACH 41ST STREET-BEACH CHANNEL DRIVE,NY005001650,165,165,282,282,NY005086,FEDERAL,CONVENTIONAL,NEW CONST,0,711,712,"3,102.50",4.36,0,"1,456","1,456",255,0.3893,4,1,6,13,"580,000.00",13.31,"580,000",13.31,"66,756","6,385,727",11.51%,109,"$24,811,000","$7,988",$552,B 38TH ST,B 41ST ST,NORTON AVE,B CHANNEL DR,QUEENS,14,5,10,31,31,11/30/1973,,,,,
1/1/2024,BEDFORD-STUYVESANT REHAB,NY005010730,311,73,266,538,NY005255,FEDERAL,TURNKEY,REHAB,0,81,85,370.5,4.57,0,181,181,35,0.4375,3,0,5,4–6,"26,000.00",0.6,"26,000",0.6,"18,283","856,611",70.32%,302,"$5,219,763","$13,316",$538,THROOP AVE,VERNON AVE,MARCUS GARVEY BLVD,HART ST,BROOKLYN,3,8,25,56,36,5/31/1983,,,YES,,
1/1/2024,BERRY,NY005000520,52,52,587,587,NY005271B,FEDERAL,CONVENTIONAL,NEW CONST,0,481,506,"2,030.50",4.22,0,897,897,227,0.4759,8,1,16,6,"604,913.00",13.89,"511,178",11.74,"77,152","4,520,277",12.75%,65,"$5,929,376","$2,785",$557,RICHMOND RD,DONGAN HILLS AVE,SEAVER AVE,JEFFERSON ST,STATEN ISLAND,2,11,23,64,50,10/27/1950,1980/10/01-ATP 7,,,,
1/1/2024,BLAND,NY005011860,54,186,519,519,NY005213K,FEDERAL,CONVENTIONAL,NEW CONST,0,399,400,"1,850.50",4.64,0,774,774,187,0.4795,5,0,5,10,"269,800.00",6.19,"245,785",5.64,"43,237","3,668,503",16.03%,125,"$5,925,000","$3,205",$640,ROOSEVELT AVE,PRINCE ST,COLLEGE POINT BLVD,LIRR,QUEENS,7,6,16,40,20,5/8/1952,1977/07/01-ATP 1,,,,
1/1/2024,BORINQUEN PLAZA I,NY005012430,243,243,353,353,NY005175,FEDERAL,TURNKEY,NEW CONST,0,505,509,"2,337.50",4.63,0,988,988,266,0.5588,8,2,8,7,"250,875.00",5.76,"250,875",5.76,"96,902","4,544,080",38.63%,172,"$15,625,047","$6,556",$614,MANHATTAN AVE,BOERUM ST,BUSHWICK AVE,VARET ST,BROOKLYN,1,7,18,53,34,2/28/1975,,PARTIALLY (2 BUILDINGS),,,
1/1/2024,BORINQUEN PLAZA II,NY005012430,271,243,390,353,NY005195,FEDERAL,TURNKEY,NEW CONST,0,424,425,"2,261.00",5.33,0,980,980,172,0.4226,7,0,7,7,"184,000.00",4.22,"184,000",4.22,"61,115","4,223,000",33.21%,232,"$16,411,918","$7,244",$692,BOERUM ST,HUMBOLDT ST,SEIGEL ST,BUSHWICK AVE,BROOKLYN,1,7,18,53,34,12/31/1975,,,,,
1/1/2024,BOSTON ROAD PLAZA,NY005010390,189,39,304,304,NY005095,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0,212,235,744,3.51,0,255,255,182,0.8626,1,1,1,20,"84,416.00",1.94,"84,416",1.94,"15,045","1,589,318",17.82%,131,"$7,125,145","$8,452",$419,MACE AVE,HOLLAND AVE,WARING AVE,BOSTON RD,BRONX,11,15,33,80,13,8/31/1972,,EXCLUSIVELY,,,
1/1/2024,BOSTON SECOR,NY005011380,138,138,254,254,NY005060,FEDERAL,CONVENTIONAL,NEW CONST,0,509,538,"2,356.50",4.63,0,"1,182","1,182",190,0.3733,4,2,4,13–14–17–18,"612,889.00",14.07,"612,889",14.07,"36,181","4,849,474",5.90%,84,"$11,894,964","$4,778",$621,IRT-DYRE AVE LINE,BOSTON RD,STEENWICK AVE,,BRONX,12,14,36,83,12,4/30/1969,,,,,
1/1/2024,BOYNTON AVENUE REHAB,NY005010320,346,32,767,533,NY005249,FEDERAL,TURNKEY,REHAB,0,81,82,362.5,4.48,0,168,168,39,0.4875,3,0,3,4–6,"30,000.00",0.69,"30,000",0.69,"16,455","999,600",54.85%,243,"$4,943,129","$13,396",$468,WATSON AVE,WARD AVE,BRUCKNER BLVD,ELDER AVE,BRONX,9,14,32,85,18,8/22/1985,,,YES,,
1/1/2024,BRACETTI PLAZA,NY005012920,264,337,379,370,NY005185,FEDERAL,TURNKEY,NEW CONST,0,107,108,534.5,5,0,235,235,57,0.5429,1,0,2,7,"44,353.00",1.02,"44,353",1.02,"18,790","1,216,072",42.36%,230,"$4,364,419","$8,008",$582,E 3RD ST,AVENUE C,E 4TH ST,AVENUE B,MANHATTAN,3,10,27,65,2,5/31/1974,,,,,
1/1/2024,BREUKELEN,NY005000560,56,56,212,212,NY005011,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,585","1,595","7,427.50",4.69,0,"3,231","3,231",607,0.3993,30,2,94,3–7,"2,830,416.00",64.98,"2,141,741",49.17,"360,423","14,297,000",12.73%,50,"$18,410,273","$2,464",$605,STANLEY AVE,FLATLANDS AVE,E 103RD ST,WILLIAMS AVE,BROOKLYN,18,8,19,"58, 60",42,11/6/1952,,,,,
1/1/2024,BREVOORT,NY005000650,65,65,213,213,NY005017,FEDERAL,CONVENTIONAL,NEW CONST,0,892,896,"4,179.00",4.68,0,"1,739","1,739",328,0.3832,13,1,26,7,"751,896.00",17.26,"687,188",15.78,"121,363","7,735,916",16.14%,101,"$11,831,887","$2,849",$638,BAINBRIDGE ST,RALPH AVE,FULTON ST,PATCHEN AVE,BROOKLYN,3,8,25,56,41,8/10/1955,,,,,
1/1/2024,BRONX RIVER,NY005010320,32,32,533,533,NY005220D,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,239","1,246","5,919.50",4.78,0,"2,761","2,761",530,0.4428,9,1,9,14,"607,297.00",13.94,"563,737",12.94,"84,235","10,772,413",13.87%,198,"$12,719,000","$2,131",$504,BRONX RIVER AVE,HARROD AVE,E 174TH ST,,BRONX,9,14,32,85,17,2/28/1951,1978/07/01-ATP 3,,,,
1/1/2024,BRONX RIVER ADDITION,NY005010320,157,32,533,533,NY005220D,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0,156,226,442,2.83,0,144,144,116,0.8855,2,0,2,6–14,"62,500.00",1.43,"62,500",1.43,"12,286","1,529,115",19.66%,101,"$3,928,000","$6,128",$318,E 172ND ST,E 174TH ST,MANOR AVE,HARROD AVE,BRONX,9,14,34,85,17,2/28/1966,1978/07/01-ATP 3,EXCLUSIVELY,,,
1/1/2024,BROWN,NY005012520,325,252,336,336,NY005277,FEDERAL,TURNKEY,NEW CONST (ELD),0,200,200,700,3.5,0,218,218,173,0.8872,2,0,2,6,"99,460.00",2.28,"99,460",2.28,"29,354","1,493,904",29.51%,96,"$13,425,060","$19,179",$411,EASTERN PKWY,PROSPECT PL,HOPKINSON AVE,SAINT MARKS AVE,BROOKLYN,16,8,25,55,41,7/23/1985,,EXCLUSIVELY,YES,,
1/1/2024,BROWNSVILLE,NY005000160,16,16,512,512,NY005213D,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,319","1,338","6,202.50",4.7,0,"2,810","2,810",443,0.3547,27,0,46,3–6–7,"819,997.00",18.82,"732,841",16.82,"188,564","10,371,638",23.00%,149,"$12,898,000","$2,054",$611,SUTTER AVE,DUMONT AVE,MOTHER GASTON BLVD,ROCKAWAY AVE,BROOKLYN,16,8,25,55,41,4/16/1948,1977/07/01-ATP 1,,,,
1/1/2024,BRYANT AVENUE-EAST 174TH STREET,NY005015300,235,530,352,748,NY005145,FEDERAL,TURNKEY,NEW CONST,0,72,72,284,3.94,0,145,145,32,0.4507,1,0,1,6,"22,500.00",0.52,"22,500",0.52,"9,879","672,864",43.91%,279,"$2,132,334","$7,315",$593,E 174TH ST,BRYANT AVE,E 173RD ST,VYSE AVE,BRONX,3,14,32,79,17,8/31/1972,,,,YES,
1/1/2024,BUSHWICK,NY005020860,86,86,430,430,NY005370,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,209,"1,217","1,220","5,661.50",4.65,454,"2,048","2,502",564,0.4887,8,0,8,13–20,"697,736.00",16.02,"639,260",14.68,"78,768","11,288,105",11.29%,156,"$20,346,000","$3,599",$552,HUMBOLDT ST,MOORE ST,BUSHWICK AVE,FLUSHING AVE,BROOKLYN,1,7,18,53,34,4/1/1960,,,,,
1/1/2024,BUTLER,NY005001130,113,113,435,435,NY005362,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,472","1,492","7,202.00",4.89,0,"3,728","3,728",537,0.383,6,1,6,21,"558,096.00",12.81,"558,096",12.81,"88,255","13,527,100",15.81%,291,"$29,633,000","$4,068",$589,E 169TH ST,E 171ST ST,WEBSTER AVE,PARK AVE,BRONX,3,15,32,79,16,12/31/1964,1995/07/13-PTA,,,,
1/1/2024,CAMPOS PLAZA II,NY005012570,286,337,593,593,NY005264,FEDERAL,CONVENTIONAL,NEW CONST,0,218,224,"1,060.00",4.86,0,458,458,111,0.5092,2,0,3,9–17,"93,155.00",2.14,"93,155",2.14,"29,149","2,470,285",31.29%,214,"$17,601,547","$16,193",$769,AVENUE B,E 14TH ST,AVENUE C,E 13TH ST,MANHATTAN,3,10,27,74,2,4/30/1983,,,YES,,
1/1/2024,CAREY GARDENS,NY005011660,166,166,288,288,NY005088,FEDERAL,CONVENTIONAL,NEW CONST,0,678,683,"3,076.00",4.54,0,"1,524","1,524",288,0.4479,3,2,3,15–17,"364,406.00",8.37,"364,406",8.37,"58,078","6,234,149",15.94%,182,"$16,996,504","$5,476",$544,W 24TH ST,NEPTUNE AVE,W 22ND ST,SURF AVE,BROOKLYN,13,8,23,46,47,11/30/1970,,,,,
1/1/2024,CARLETON MANOR,NY005010750,164,75,270,226,NY005073,FEDERAL,CONVENTIONAL,NEW CONST,0,169,174,728.5,4.31,0,328,328,66,0.4049,1,0,1,11,"145,011.00",3.33,"145,011",3.33,"14,051","1,386,194",9.69%,98,"$3,373,126","$4,498",$516,ROCKAWAY FRWY,BEACH CHANNEL DR,,,QUEENS,14,5,10,31,31,3/31/1967,,,,,
1/1/2024,CARVER,NY005000580,58,58,534,534,NY005220E,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,244","1,246","5,760.00",4.63,0,"2,489","2,489",556,0.4554,13,0,13,6–15,"637,132.00",14.63,"594,887",13.66,"97,568","10,275,141",15.31%,170,"$24,155,000","$4,145",$631,E 99TH ST,PARK AVE,MADISON AVE,E 106TH ST,MANHATTAN,11,13,29,68,8,2/14/1958,1978/07/01-ATP 3,,,,
1/1/2024,CASSIDY-LAFAYETTE,NY005011170,206,117,319,241,NY005122,FEDERAL,TURNKEY,NEW CONST (ELD),0,378,380,"1,248.00",3.3,0,403,403,307,0.895,4,1,4,6,"224,294.00",5.15,"224,294",5.15,"54,589","2,858,593",24.34%,78,"$6,866,904","$5,315",$346,CASSIDY PL,FILLMORE ST,LAFAYETTE AVE,CLINTON AVE,STATEN ISLAND,1,11,23,61,49,9/30/1971,,EXCLUSIVELY,,,
1/1/2024,CASTLE HILL,NY005020800,80,80,431,431,NY005371,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,410,"2,022","2,025","9,759.00",4.83,997,"3,462","4,459",795,0.4117,14,0,14,12–20,"1,801,346.00",41.35,"1,757,585",40.35,"176,917","19,247,987",9.82%,108,"$28,454,000","$2,915",$580,OLMSTEAD AVE,HAVEMEYER AVE,LACOMBE AVE,CINCINNATUS AVE,BRONX,9,14,34,87,18,12/15/1960,,,,,
1/1/2024,CHELSEA,NY005021340,134,134,446,446,NY005372,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,68,396,425,"1,796.00",4.54,147,692,839,180,0.4557,2,0,4,21,"74,488.00",1.71,"74,488",1.71,"18,557","3,689,065",24.91%,491,"$8,776,000","$4,584",$602,W 25TH ST,W 26TH ST,NINTH AVE,,MANHATTAN,4,12,47,75,3,5/31/1964,,,,,
1/1/2024,CHELSEA ADDITION,NY005011340,176,134,451,451,NY005361,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0,85,96,297.5,3.5,0,108,108,82,0.9647,1,0,1,14,"44,921.00",1.03,"44,921",1.03,"14,475","1,021,739",32.22%,105,"$2,402,000","$7,149",$380,CHELSEA PARK,W 26TH ST,TENTH AVE,,MANHATTAN,4,12,47,75,3,4/30/1968,1995/07/13-PTA,EXCLUSIVELY,,,
1/1/2024,CLAREMONT REHAB (GROUP 2),NY005013080,307,308,330,750,NY005246,FEDERAL,TURNKEY,REHAB,0,106,107,455,4.29,0,220,220,44,0.4444,6,0,6,5–6,"31,874.00",0.73,"31,874",0.73,"21,948","3,488,634",68.86%,301,"$11,430,362","$24,822",$438,CLAY AVE,E 169TH ST,WEBSTER AVE,E 166TH ST,BRONX,4,15,32,77,16,12/31/1987,,,YES,,
1/1/2024,CLAREMONT REHAB (GROUP 3),NY005013080,308,308,750,750,NY005223,FEDERAL,TURNKEY,REHAB,0,106,115,467,4.41,0,227,227,36,0.3564,5,0,5,5,"35,423.00",0.81,"35,423",0.81,"21,985","1,538,950",62.06%,280,"$7,234,594","$14,061",$563,E 167TH ST,TELLER AVE,E 165TH ST,FINDLAY AVE,BRONX,4,15,32,77,16,2/28/1985,,,YES,,
1/1/2024,CLAREMONT REHAB (GROUP 4),NY005013080,335,308,751,750,NY005273,FEDERAL,TURNKEY,REHAB,0,140,150,621,4.44,0,280,280,47,0.3701,9,0,9,4–5,"45,636.00",1.05,"45,636",1.05,"29,519","2,656,710",64.68%,267,"$10,283,674","$15,605",$525,E 169TH ST,CLAY AVE,E 165TH ST,FINDLAY AVE,BRONX,4,15,32,77,16,10/23/1986,,,YES,,
1/1/2024,CLAREMONT REHAB (GROUP 5),NY005013080,336,308,752,750,NY005274,FEDERAL,TURNKEY,REHAB,0,128,135,557,4.35,0,266,266,47,0.3983,3,0,3,5,"53,898.00",1.24,"53,898",1.24,"28,605","2,927,721",53.07%,215,"$8,551,169","$14,555",$588,COLLEGE AVE,E 167TH ST,FINDLAY AVE,E 166TH ST,BRONX,4,15,32,77,16,11/30/1985,,,YES,,
1/1/2024,CLASON POINT GARDENS,NY005012800,11,280,208,506,NY005007,FEDERAL,CONVENTIONAL,NEW CONST,0,377,401,"1,784.50",4.73,0,804,804,157,0.4164,46,0,192,2,"742,013.00",17.03,"742,013",17.03,"154,304","3,388,939",20.80%,47,"$2,067,000","$1,116",$742,STORY AVE,SEWARD AVE,NOBLE AVE,METCALF AVE,BRONX,9,14,34,85,18,12/20/1941,,,,,
1/1/2024,CLINTON,NY005001230,123,123,245,245,NY005045,FEDERAL,CONVENTIONAL,NEW CONST,0,746,749,"3,511.00",4.71,0,"1,603","1,603",334,0.4601,6,2,6,9–18,"243,770.00",5.6,"232,673",5.34,"51,879","6,740,935",21.28%,286,"$16,774,779","$4,756",$591,PARK & LEX AVES,"E 104TH,106TH STS",E 108TH ST,E 110TH ST,MANHATTAN,11,13,29,68,8,10/31/1965,,,,,
1/1/2024,COLLEGE AVENUE-EAST 165TH STREET,NY005013080,236,308,351,344,NY005148,FEDERAL,TURNKEY,NEW CONST (ELD),0,95,95,307.5,3.24,0,97,97,78,0.907,1,0,1,6,"22,146.00",0.51,"22,146",0.51,"10,022","784,399",45.25%,190,"$2,518,156","$7,869",$327,E 166TH ST,FINDLAY AVE,E 165TH ST,COLLEGE AVE,BRONX,4,15,32,77,16,7/31/1972,,EXCLUSIVELY,,,
1/1/2024,CONEY ISLAND,NY005011700,94,170,671,671,NY005363,FEDERAL,CONVENTIONAL,NEW CONST,0,530,534,"2,424.00",4.57,0,"1,029","1,029",239,0.4695,5,0,5,14,"298,874.00",6.86,"239,429",5.5,"38,119","4,912,800",12.75%,150,"$7,728,534","$3,165",$631,SURF AVE,W 32ND ST,RIEGELMANN BRDWK,W 29TH ST,BROOKLYN,13,8,23,46,47,2/25/1957,1995/07/13-PTA,,,,
